AircraftId,Date,DayOfTheWeek,AircraftType,Origin,Destination,DepartureAEST,DepartureHour,ArrivalAEST,Duration
FD449,6/07/2022,Wednesday,B350,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),11:11 AM,11,11:25 AM,14
FD449,8/07/2022,Friday,B350,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),10:58 AM,10,11:12 AM,14
FD456,7/07/2022,Thursday,BE20,Roma (RMA / YROM),Mitchell (YMIT),10:01 AM,10,10:15 AM,14
FD478,4/07/2022,Monday,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),8:39 PM,20,8:53 PM,14
FD489,7/07/2022,Thursday,BE20,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),7:19 AM,7,7:33 AM,14
FD601,17/07/2022,Sunday,PC12,Kalgoorlie-Boulder (KGI / YPKG),Kalgoorlie-Boulder (KGI / YPKG),9:58 AM,9,10:12 AM,14
FD423,18/07/2022,Monday,B350,Charters Towers (CXT / YCHT),Townsville Int'l / RAAF (TSV / YBTL),12:16 AM,0,12:31 AM,15
FD425,7/07/2022,Thursday,BE20,Bundaberg (BDB / YBUD),Maryborough (MBH / YMYB),7:30 PM,19,7:45 PM,15
FD425,9/07/2022,Saturday,BE20,Dalby (DBY / YDAY),Toowoomba (YTWB),10:06 PM,22,10:21 PM,15
FD449,4/07/2022,Monday,B350,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),8:56 PM,20,9:11 PM,15
FD449,5/07/2022,Tuesday,B350,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),6:59 PM,18,7:14 PM,15
FD478,17/07/2022,Sunday,BE20,Kingaroy (KGY / YKRY),Toowoomba (YTWB),9:30 PM,21,9:45 PM,15
FD480,12/07/2022,Tuesday,B350,Clermont (CMQ / YCMT),Moranbah (MOV / YMRB),11:43 AM,11,11:58 AM,15
FD489,5/07/2022,Tuesday,BE20,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),7:46 AM,7,8:01 AM,15
FD543,6/07/2022,Wednesday,PC12,Glendambo (YGLD),Kingoonya (YKGA),1:22 PM,13,1:37 PM,15
FD248,13/07/2022,Wednesday,BE20,Menindee (YMED),Broken Hill (BHQ / YBHI),2:07 PM,14,2:23 PM,16
FD427,16/07/2022,Saturday,B350,Kingaroy (KGY / YKRY),Wellcamp Airport (WTB / YBWW),2:57 PM,14,3:13 PM,16
FD530,15/07/2022,Friday,PC12,Wilpena Pound (YHAW),Booleroo Centre (YBOC),4:04 PM,16,4:20 PM,16
FD534,16/07/2022,Saturday,PC12,Whyalla (WYA / YWHA),Hubert Wilkings Airstrip (YJST),12:31 PM,12,12:47 PM,16
FD538,16/07/2022,Saturday,PC12,Whyalla (WYA / YWHA),Hubert Wilkings Airstrip (YJST),12:31 PM,12,12:47 PM,16
FD596,7/07/2022,Thursday,PC12,Naracoorte (NAC / YNRC),Mount Gambier (MGB / YMTG),10:15 AM,10,10:31 AM,16
FD609,12/07/2022,Tuesday,PC12,Beagle Bay Community (YBGB),Lombadina (YLBD),11:16 AM,11,11:32 AM,16
FD609,5/07/2022,Tuesday,PC12,Lagrange Bay (YLGB),Broome Int'l (BME / YBRM),1:42 PM,13,1:58 PM,16
FD623,15/07/2022,Friday,PC12,Lagrange Bay (YLGB),Broome Int'l (BME / YBRM),6:19 PM,18,6:35 PM,16
FD874,14/07/2022,Thursday,PC12,Darwin Int'l / RAAF (DRW / YPDN),Bathurst Island (BRT / YBTI),5:47 PM,17,6:03 PM,16
FD425,17/07/2022,Sunday,BE20,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),9:21 PM,21,9:38 PM,17
FD425,9/07/2022,Saturday,BE20,Gayndah (GAH / YGAY),Bundaberg (BDB / YBUD),3:01 PM,15,3:18 PM,17
FD480,12/07/2022,Tuesday,B350,Cloncurry (CNJ / YCCY),Mount Isa (ISA / YBMA),6:08 PM,18,6:25 PM,17
FD530,15/07/2022,Friday,PC12,Port Augusta (PUG / YPAG),Port Pirie (PPI / YPIR),10:47 AM,10,11:04 AM,17
FD530,4/07/2022,Monday,PC12,Yorketown (YYOR),Adelaide Int'l (ADL / YPAD),2:26 AM,2,2:43 AM,17
FD534,7/07/2022,Thursday,PC12,Naracoorte (NAC / YNRC),Mount Gambier (MGB / YMTG),5:33 PM,17,5:50 PM,17
FD602,5/07/2022,Tuesday,PC12,Laverton (LVO / YLTN),Leonora (LNO / YLEO),3:09 PM,15,3:26 PM,17
FD607,12/07/2022,Tuesday,PC12,Lagrange Bay (YLGB),Broome Int'l (BME / YBRM),4:47 PM,16,5:04 PM,17
FD629,16/07/2022,Saturday,PC12,Ginbata (GBW / YGIA),Dave Forest (KFE / YFDF),12:26 AM,0,12:43 AM,17
FD416,17/07/2022,Sunday,BE20,Mount Isa (ISA / YBMA),Cloncurry (CNJ / YCCY),6:54 PM,18,7:12 PM,18
FD425,10/07/2022,Sunday,BE20,Gayndah (GAH / YGAY),Bundaberg (BDB / YBUD),3:06 PM,15,3:24 PM,18
FD425,11/07/2022,Monday,BE20,Kingaroy (KGY / YKRY),Toowoomba (YTWB),9:21 AM,9,9:39 AM,18
FD427,16/07/2022,Saturday,B350,Kingaroy (KGY / YKRY),Wellcamp Airport (WTB / YBWW),10:09 PM,22,10:27 PM,18
FD467,6/07/2022,Wednesday,BE20,Maroochydore/Sunshine Coast (MCY / YBSU),Brisbane (BNE / YBBN),5:16 PM,17,5:34 PM,18
FD480,14/07/2022,Thursday,B350,Mackay (MKY / YBMK),Proserpine / Whitsunday Coast (PPP / YBPN),1:02 PM,13,1:20 PM,18
FD493,10/07/2022,Sunday,BE20,Toowoomba (YTWB),Kingaroy (KGY / YKRY),11:21 PM,23,11:39 PM,18
FD543,6/07/2022,Wednesday,PC12,Kingoonya (YKGA),Bulgunnia (YBUL),3:43 PM,15,4:01 PM,18
FD580,11/07/2022,Monday,PC12,Adelaide Int'l (ADL / YPAD),Yorketown (YYOR),3:08 PM,15,3:26 PM,18
FD856,15/07/2022,Friday,PC12,Alice Springs (ASP / YBAS),Alice Springs (ASP / YBAS),4:34 PM,16,4:52 PM,18
FD248,13/07/2022,Wednesday,BE20,Broken Hill (BHQ / YBHI),Menindee (YMED),1:02 PM,13,1:21 PM,19
FD416,16/07/2022,Saturday,BE20,Burketown (BUC / YBKT),Doomadgee (DMD / YDMG),9:21 PM,21,9:40 PM,19
FD416,10/07/2022,Sunday,BE20,Cloncurry (CNJ / YCCY),Mount Isa (ISA / YBMA),5:29 PM,17,5:48 PM,19
FD423,17/07/2022,Sunday,B350,Townsville Int'l / RAAF (TSV / YBTL),Charters Towers (CXT / YCHT),10:12 PM,22,10:31 PM,19
FD425,14/07/2022,Thursday,BE20,Gayndah (GAH / YGAY),Bundaberg (BDB / YBUD),2:27 PM,14,2:46 PM,19
FD425,10/07/2022,Sunday,BE20,Maroochydore/Sunshine Coast (MCY / YBSU),Brisbane (BNE / YBBN),10:07 PM,22,10:26 PM,19
FD425,6/07/2022,Wednesday,BE20,Monto (YMTO),Bundaberg (BDB / YBUD),3:06 PM,15,3:25 PM,19
FD467,16/07/2022,Saturday,BE20,Brisbane (BNE / YBBN),Toowoomba (YTWB),12:19 PM,12,12:38 PM,19
FD478,6/07/2022,Wednesday,BE20,Monto (YMTO),Bundaberg (BDB / YBUD),3:06 PM,15,3:25 PM,19
FD530,17/07/2022,Sunday,PC12,Port Augusta (PUG / YPAG),Port Pirie (PPI / YPIR),3:55 PM,15,4:14 PM,19
FD534,17/07/2022,Sunday,PC12,Port Augusta (PUG / YPAG),Port Pirie (PPI / YPIR),3:55 PM,15,4:14 PM,19
FD609,12/07/2022,Tuesday,PC12,Broome Int'l (BME / YBRM),Beagle Bay Community (YBGB),9:59 AM,9,10:18 AM,19
FD874,5/07/2022,Tuesday,PC12,Garden Point (GPN / YGPT),Darwin Int'l / RAAF (DRW / YPDN),9:07 AM,9,9:26 AM,19
FD416,11/07/2022,Monday,BE20,Cloncurry (CNJ / YCCY),Mount Isa (ISA / YBMA),2:07 PM,14,2:27 PM,20
FD416,10/07/2022,Sunday,BE20,Mount Isa (ISA / YBMA),Cloncurry (CNJ / YCCY),1:18 AM,1,1:38 AM,20
FD425,15/07/2022,Friday,BE20,Bundaberg (BDB / YBUD),Gayndah (GAH / YGAY),8:21 AM,8,8:41 AM,20
FD427,17/07/2022,Sunday,B350,Goondiwindi (GOO / YGDI),Wellcamp Airport (WTB / YBWW),1:36 AM,1,1:56 AM,20
FD467,13/07/2022,Wednesday,BE20,Monto (YMTO),Bundaberg (BDB / YBUD),1:04 PM,13,1:24 PM,20
FD467,15/07/2022,Friday,BE20,Toowoomba (YTWB),Brisbane (BNE / YBBN),4:24 PM,16,4:44 PM,20
FD493,11/07/2022,Monday,BE20,Kingaroy (KGY / YKRY),Toowoomba (YTWB),12:09 AM,0,12:29 AM,20
FD493,13/07/2022,Wednesday,BE20,Toowoomba (YTWB),Warwick (WAZ / YWCK),11:23 PM,23,11:43 PM,20
FD534,11/07/2022,Monday,PC12,Port Pirie (PPI / YPIR),Kadina (YKDI),7:56 PM,19,8:16 PM,20
FD543,16/07/2022,Saturday,PC12,Cadney Hs (YCDH),Oodnadatta (YOOD),5:10 PM,17,5:30 PM,20
FD580,18/07/2022,Monday,PC12,Kingscote (KGC / YKSC),Adelaide Int'l (ADL / YPAD),8:45 PM,20,9:05 PM,20
FD596,10/07/2022,Sunday,PC12,Maitland (YMLD),Adelaide Int'l (ADL / YPAD),6:38 PM,18,6:58 PM,20
FD630J,15/07/2022,Friday,PC24,Derby (DRB / YDBY),Broome Int'l (BME / YBRM),5:35 PM,17,5:55 PM,20
FD425,9/07/2022,Saturday,BE20,Hervey Bay (HVB / YHBA),Gayndah (GAH / YGAY),2:25 PM,14,2:46 PM,21
FD425,17/07/2022,Sunday,BE20,Kingaroy (KGY / YKRY),Brisbane (BNE / YBBN),11:00 PM,23,11:21 PM,21
FD427,16/07/2022,Saturday,B350,Wellcamp Airport (WTB / YBWW),Brisbane (BNE / YBBN),4:09 PM,16,4:30 PM,21
FD456,4/07/2022,Monday,BE20,Chinchilla (CCL / YCCA),Wellcamp Airport (WTB / YBWW),6:37 PM,18,6:58 PM,21
FD467,15/07/2022,Friday,BE20,Brisbane (BNE / YBBN),Toowoomba (YTWB),9:20 AM,9,9:41 AM,21
FD467,16/07/2022,Saturday,BE20,Dirranbandi (DRN / YDBI),Saint George (SGO / YSGE),5:17 PM,17,5:38 PM,21
FD489,5/07/2022,Tuesday,BE20,Gladstone (GLT / YGLA),Rockhampton (ROK / YBRK),10:27 AM,10,10:48 AM,21
FD493,17/07/2022,Sunday,BE20,Kingaroy (KGY / YKRY),Toowoomba (YTWB),11:05 AM,11,11:26 AM,21
FD534,10/07/2022,Sunday,PC12,Kadina (YKDI),Adelaide Int'l (ADL / YPAD),10:37 PM,22,10:58 PM,21
FD580,10/07/2022,Sunday,PC12,Kadina (YKDI),Adelaide Int'l (ADL / YPAD),10:37 PM,22,10:58 PM,21
AM273,7/07/2022,Thursday,B350,Moruya (MYA / YMRY),Merimbula (MIM / YMER),11:17 PM,23,11:39 PM,22
FD425,15/07/2022,Friday,BE20,Gayndah (GAH / YGAY),Bundaberg (BDB / YBUD),9:27 AM,9,9:49 AM,22
FD425,11/07/2022,Monday,BE20,Maroochydore/Sunshine Coast (MCY / YBSU),Wondai (WDI / YWND),12:03 PM,12,12:25 PM,22
FD456,7/07/2022,Thursday,BE20,Kingaroy (KGY / YKRY),Toowoomba (YTWB),4:28 PM,16,4:50 PM,22
FD478,14/07/2022,Thursday,BE20,Moura (YMOU),Rockhampton (ROK / YBRK),4:30 PM,16,4:52 PM,22
FD493,14/07/2022,Thursday,BE20,Kingaroy (KGY / YKRY),Toowoomba (YTWB),11:42 PM,23,12:04 AM,22
FD493,13/07/2022,Wednesday,BE20,Windorah (WNR / YWDH),Yaraka (YYKA),7:11 AM,7,7:33 AM,22
FD493,13/07/2022,Wednesday,BE20,Yaraka (YYKA),Stonehenge (YSTO),1:18 PM,13,1:40 PM,22
FD534,15/07/2022,Friday,PC12,Adelaide Int'l (ADL / YPAD),Kingscote (KGC / YKSC),1:20 AM,1,1:42 AM,22
FD596,8/07/2022,Friday,PC12,Kingscote (KGC / YKSC),Adelaide Int'l (ADL / YPAD),1:20 AM,1,1:42 AM,22
FD874,12/07/2022,Tuesday,PC12,Snake Bay (SNB / YSNK),Darwin Int'l / RAAF (DRW / YPDN),4:58 PM,16,5:20 PM,22
FD416,5/07/2022,Tuesday,BE20,Birdsville (BVI / YBDV),Bedourie (BEU / YBIE),4:25 PM,16,4:48 PM,23
FD416,17/07/2022,Sunday,BE20,Cloncurry (CNJ / YCCY),Mount Isa (ISA / YBMA),8:59 PM,20,9:22 PM,23
FD425,14/07/2022,Thursday,BE20,Moura (YMOU),Rockhampton (ROK / YBRK),9:24 AM,9,9:47 AM,23
FD427,10/07/2022,Sunday,B350,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),4:54 PM,16,5:17 PM,23
FD456,7/07/2022,Thursday,BE20,Miles Airport (WLE / YMLS),Kingaroy (KGY / YKRY),3:35 PM,15,3:58 PM,23
FD456,4/07/2022,Monday,BE20,Toowoomba (YTWB),Brisbane (BNE / YBBN),1:20 AM,1,1:43 AM,23
FD456,8/07/2022,Friday,BE20,Toowoomba (YTWB),Brisbane (BNE / YBBN),5:15 PM,17,5:38 PM,23
FD467,16/07/2022,Saturday,BE20,Toowoomba (YTWB),Brisbane (BNE / YBBN),7:34 PM,19,7:57 PM,23
FD480,12/07/2022,Tuesday,B350,Moranbah (MOV / YMRB),Mackay (MKY / YBMK),12:14 PM,12,12:37 PM,23
FD493,9/07/2022,Saturday,BE20,Brisbane (BNE / YBBN),Toowoomba (YTWB),1:09 AM,1,1:32 AM,23
FD493,10/07/2022,Sunday,BE20,Texas (YTEX),Toowoomba (YTWB),12:34 PM,12,12:57 PM,23
FD530,17/07/2022,Sunday,PC12,Whyalla (WYA / YWHA),Adelaide Int'l (ADL / YPAD),10:00 PM,22,10:23 PM,23
FD534,13/07/2022,Wednesday,PC12,Adelaide Int'l (ADL / YPAD),Kadina (YKDI),9:15 PM,21,9:38 PM,23
FD534,12/07/2022,Tuesday,PC12,Kadina (YKDI),Adelaide Int'l (ADL / YPAD),9:07 PM,21,9:30 PM,23
FD534,13/07/2022,Wednesday,PC12,Kadina (YKDI),Adelaide Int'l (ADL / YPAD),11:00 PM,23,11:23 PM,23
FD534,14/07/2022,Thursday,PC12,Kadina (YKDI),Adelaide Int'l (ADL / YPAD),10:10 PM,22,10:33 PM,23
FD534,15/07/2022,Friday,PC12,Kingscote (KGC / YKSC),Adelaide Int'l (ADL / YPAD),2:24 AM,2,2:47 AM,23
FD534,10/07/2022,Sunday,PC12,Tumby Bay (YTBB),Kadina (YKDI),9:30 PM,21,9:53 PM,23
FD534,17/07/2022,Sunday,PC12,Whyalla (WYA / YWHA),Adelaide Int'l (ADL / YPAD),10:00 PM,22,10:23 PM,23
FD543,12/07/2022,Tuesday,PC12,Marla (YALA),Cadney Hs (YCDH),11:39 AM,11,12:02 PM,23
FD580,10/07/2022,Sunday,PC12,Tumby Bay (YTBB),Kadina (YKDI),9:30 PM,21,9:53 PM,23
FD596,10/07/2022,Sunday,PC12,Adelaide Int'l (ADL / YPAD),Maitland (YMLD),5:27 PM,17,5:50 PM,23
FD596,7/07/2022,Thursday,PC12,Kadina (YKDI),Adelaide Int'l (ADL / YPAD),1:15 AM,1,1:38 AM,23
FD602,11/07/2022,Monday,PC12,Merredin (YMDN),Bruce Rock (YBRO),11:10 AM,11,11:33 AM,23
FD608,17/07/2022,Sunday,PC12,Solomon (SLJ / YSOL),Port Hedland Int'l (PHE / YPPD),9:30 PM,21,9:53 PM,23
FD617,4/07/2022,Monday,PC12,Jandakot (JAD / YPJT),Jandakot (JAD / YPJT),9:13 PM,21,9:36 PM,23
FD248,5/07/2022,Tuesday,BE20,Broken Hill (BHQ / YBHI),Menindee (YMED),12:57 PM,12,1:21 PM,24
FD416,10/07/2022,Sunday,BE20,Mount Isa (ISA / YBMA),Cloncurry (CNJ / YCCY),4:34 PM,16,4:58 PM,24
FD416,11/07/2022,Monday,BE20,Mount Isa (ISA / YBMA),Cloncurry (CNJ / YCCY),12:03 PM,12,12:27 PM,24
FD423,13/07/2022,Wednesday,B350,Moranbah (MOV / YMRB),Mackay (MKY / YBMK),9:10 PM,21,9:34 PM,24
FD425,13/07/2022,Wednesday,BE20,Bundaberg (BDB / YBUD),Monto (YMTO),8:07 AM,8,8:31 AM,24
FD427,13/07/2022,Wednesday,B350,Gladstone (GLT / YGLA),Bundaberg (BDB / YBUD),2:26 PM,14,2:50 PM,24
FD427,11/07/2022,Monday,B350,Wellcamp Airport (WTB / YBWW),Brisbane (BNE / YBBN),2:28 PM,14,2:52 PM,24
FD480,8/07/2022,Friday,B350,Bowen (ZBO / YBWN),Mackay (MKY / YBMK),4:49 PM,16,5:13 PM,24
FD493,10/07/2022,Sunday,BE20,Toowoomba (YTWB),Texas (YTEX),11:49 AM,11,12:13 PM,24
FD534,10/07/2022,Sunday,PC12,Clare Valley (YCVA),Adelaide Int'l (ADL / YPAD),12:51 PM,12,1:15 PM,24
FD534,13/07/2022,Wednesday,PC12,Mount Gambier (MGB / YMTG),Bordertown (YBOR),6:13 PM,18,6:37 PM,24
FD538,18/07/2022,Monday,PC12,Millicent (MLR / YMCT),Bordertown (YBOR),12:53 PM,12,1:17 PM,24
FD543,16/07/2022,Saturday,PC12,Oodnadatta (YOOD),Cadney Hs (YCDH),10:14 AM,10,10:38 AM,24
FD629,14/07/2022,Thursday,PC12,Jandakot (JAD / YPJT),Bunbury (BUY / YBUN),2:02 AM,2,2:26 AM,24
FD853,12/07/2022,Tuesday,PC12,Brunette Downs (YBRU),Alexandria Stn (AXL / YALX),1:59 PM,13,2:23 PM,24
AM273,8/07/2022,Friday,B350,Newcastle-Williamtown Airport / RAAF (NTL / YWLM),Port Macquarie (PQQ / YPMQ),11:02 AM,11,11:27 AM,25
FD416,10/07/2022,Sunday,BE20,Cloncurry (CNJ / YCCY),Mount Isa (ISA / YBMA),2:12 AM,2,2:37 AM,25
FD423,10/07/2022,Sunday,B350,Moranbah (MOV / YMRB),Mackay (MKY / YBMK),10:13 PM,22,10:38 PM,25
FD427,14/07/2022,Thursday,B350,Brisbane (BNE / YBBN),Wellcamp Airport (WTB / YBWW),11:55 AM,11,12:20 PM,25
FD456,4/07/2022,Monday,BE20,Wellcamp Airport (WTB / YBWW),Brisbane (BNE / YBBN),7:40 PM,19,8:05 PM,25
FD467,11/07/2022,Monday,BE20,Toowoomba (YTWB),Chinchilla (CCL / YCCA),4:31 PM,16,4:56 PM,25
FD478,17/07/2022,Sunday,BE20,Moura (YMOU),Rockhampton (ROK / YBRK),3:55 PM,15,4:20 PM,25
FD489,7/07/2022,Thursday,BE20,Blackwater (BLT / YBTR),Rockhampton (ROK / YBRK),1:40 AM,1,2:05 AM,25
FD534,15/07/2022,Friday,PC12,Pinaroo (YPNN),Renmark (RMK / YREN),9:23 AM,9,9:48 AM,25
FD543,12/07/2022,Tuesday,PC12,Cadney Hs (YCDH),Marla (YALA),3:50 PM,15,4:15 PM,25
FD580,13/07/2022,Wednesday,PC12,Adelaide Int'l (ADL / YPAD),Waikerie (YWKI),12:33 AM,0,12:58 AM,25
FD596,17/07/2022,Sunday,PC12,Yorketown (YYOR),Adelaide Int'l (ADL / YPAD),8:27 PM,20,8:52 PM,25
FD619,7/07/2022,Thursday,PC12,Meekatharra (MKR / YMEK),Wiluna (WUN / YWLU),9:51 AM,9,10:16 AM,25
FD874,5/07/2022,Tuesday,PC12,Darwin Int'l / RAAF (DRW / YPDN),Snake Bay (SNB / YSNK),8:12 AM,8,8:37 AM,25
FD874,6/07/2022,Wednesday,PC12,Snake Bay (SNB / YSNK),Darwin Int'l / RAAF (DRW / YPDN),8:46 PM,20,9:11 PM,25
AM273,5/07/2022,Tuesday,B350,Newcastle-Williamtown Airport / RAAF (NTL / YWLM),Sydney (SYD / YSSY),2:11 PM,14,2:37 PM,26
AM273,10/07/2022,Sunday,B350,Newcastle-Williamtown Airport / RAAF (NTL / YWLM),Sydney (SYD / YSSY),12:44 AM,0,1:10 AM,26
AM273,12/07/2022,Tuesday,B350,Port Macquarie (PQQ / YPMQ),Newcastle-Williamtown Airport / RAAF (NTL / YWLM),4:12 PM,16,4:38 PM,26
FD213,12/07/2022,Tuesday,BE20,Dubbo (DBO / YSDU),Mudgee (DGE / YMDG),11:50 AM,11,12:16 PM,26
FD425,10/07/2022,Sunday,BE20,Hervey Bay (HVB / YHBA),Maroochydore/Sunshine Coast (MCY / YBSU),9:17 PM,21,9:43 PM,26
FD427,12/07/2022,Tuesday,B350,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),7:12 PM,19,7:38 PM,26
FD427,12/07/2022,Tuesday,B350,Kingaroy (KGY / YKRY),Brisbane (BNE / YBBN),8:16 PM,20,8:42 PM,26
FD467,11/07/2022,Monday,BE20,Chinchilla (CCL / YCCA),Toowoomba (YTWB),5:18 PM,17,5:44 PM,26
FD478,14/07/2022,Thursday,BE20,Rockhampton (ROK / YBRK),Moura (YMOU),3:29 PM,15,3:55 PM,26
FD480,10/07/2022,Sunday,B350,Cooktown (CTN / YCKN),Cairns Int'l (CNS / YBCS),3:24 PM,15,3:50 PM,26
FD480,8/07/2022,Friday,B350,Townsville Int'l / RAAF (TSV / YBTL),Bowen (ZBO / YBWN),2:35 PM,14,3:01 PM,26
FD480,7/07/2022,Thursday,B350,Winton (WIN / YWTN),Hughenden (HGD / YHUG),9:22 AM,9,9:48 AM,26
FD534,7/07/2022,Thursday,PC12,Yorketown (YYOR),Adelaide Int'l (ADL / YPAD),8:04 PM,20,8:30 PM,26
FD580,13/07/2022,Wednesday,PC12,Waikerie (YWKI),Adelaide Int'l (ADL / YPAD),1:56 AM,1,2:22 AM,26
FD596,7/07/2022,Thursday,PC12,Adelaide Int'l (ADL / YPAD),Kingscote (KGC / YKSC),12:11 AM,0,12:37 AM,26
FD601,7/07/2022,Thursday,PC12,Narrogin (YNRG),Jandakot (JAD / YPJT),3:01 AM,3,3:27 AM,26
FD602,10/07/2022,Sunday,PC12,Jandakot (JAD / YPJT),Busselton Regional (BQB / YBLN),3:29 AM,3,3:55 AM,26
